nx_date,nt_pool_fund_code,nt_security_name,nt_security_currency,nt_gti_code,nt_bloomberg_code,nt_yellow_key_code,nt_figi_code,nt_quotation_code,nt_quantity,nt_issuer_country_code,nt_second_quotation_currency,nt_underlying_security_name,nt_bloomberg_code_of_underlying
2023-12-28,NGT2754,FR RA5098 2% 21-01/04/2051,USD,P05,3133KLUX3,Mtge,BBG00ZXYX5Y6,,1427798.574,US,,,
2024-02-19,NGT6144,TRAVELERS COS INC/THE,USD,S01,TRV UN,Equity,BBG000BJ82Q4,,147873,US,,,
2024-02-26,NGT6144,STRAUMANN HOLDING AG-REG,CHF,S01,STMN SE,Equity,BBG000C1Y7D6,,57321,CH,,,
2024-02-27,NGT6144,T&D HOLDINGS INC,JPY,S01,8795 JT,Equity,BBG000BVF895,,173400,JP,,,
2024-02-28,NGT6144,,EUR,S01,VNA GY,Equity,BBG004C6MBZ7,,222981,DE,,,
2024-02-20,NGT6144,SWISS RE AG,CHF,S01,SREN SE,Equity,BBG00HCYV7Y7,,106929,CH,,,
2024-02-27,NGT6144,METTLER-TOLEDO INTERNATIONAL,USD,S01,MTD UN,Equity,BBG000BZCP64,6,16149,US,,,
2024-02-27,NGT6144,IGO LTD,AUD,S01,IGO AT,Equity,BBG000BB1C77,,648258,AU,,,
2024-02-15,NGT6144,BOC HONG KONG HOLDINGS LTD,HKD,S01,2388 HK,Equity,BBG000F6F1G3,,2181000,HK,,,
2023-12-27,NGT2754,CALL USD/AUD 18/01/2024 0.665,AUD,O02,,,,21,70110000,XX,AUD,USD/AUD,
2024-02-15,NGT2754,LEG IMMOBILIEN SE,EUR,S01,LEG GY,Equity,BBG003T0P9H6,,54990,DE,,,
2023-12-28,NGT2754,ALEXANDRIA REAL 4.75% 23-15/04/2035,USD,B01,ZM8276507,Corp,BBG01DZ9S966,,300000,US,,,
2024-02-15,NGT6144,,CAD,S01,SHOP CT,Equity,BBG008P8T6V8,,259068,CA,,,
2024-02-23,NGT6144,3I GROUP PLC,GBP,S01,III LN,Equity,BBG000BZZ876,,286338,GB,,,
2024-02-23,NGT6144,,USD,S01,MMC UN,Equity,BBG000BP4P74,,162972,US,,,
2024-02-20,NGT6144,YAMAHA CORP,JPY,S01,7951 JT,Equity,BBG000BDFSD6,,129900,JP,,,
2023-12-27,NGT2754,CNAC HK FINBRID 4.125% 17-19/07/2027,USD,B01,AO3387922,Corp,BBG00H4C6CL5,,1200000,HK,,,
2024-02-22,NGT2754,ADMIRAL GROUP PLC,GBP,S01,ADM LN,Equity,BBG000PG2GZ0,,23421,GB,,,
2024-02-15,NGT6144,MINERAL RESOURCES LTD,AUD,S01,MIN AT,Equity,BBG000M2YQC2,,110790,AU,,,
2024-02-28,NGT6144,LKQ CORP,USD,S01,LKQ UW,Equity,BBG000PXDRY8,,294231,US,,,
2024-02-26,NGT6144,KERRY GROUP PLC-A,EUR,S01,KYGA ID,Equity,BBG000BGY1T0,,51864,IE,,,
2024-02-28,NGT6144,,USD,S01,ALLE UN,Equity,BBG004T9FH88,,113025,IE,,,
2024-02-16,NGT6144,DSM-FIRMENICH AG,EUR,S01,DSFIR NA,Equity,BBG01F6K3S63,,48654,CH,,,
2024-02-26,NGT6144,HOYA CORP,JPY,S01,7741 JT,Equity,BBG000BGSJK7,,108900,JP,,,
2024-02-26,NGT6144,,CAD,S62,CAR-U CT,Equity,BBG000BGHK26,,106776,CA,,,
2024-02-27,NGT6144,VAIL RESORTS INC,USD,S01,MTN UN,Equity,BBG000BCMYM7,,33366,US,,,
2024-02-22,NGT6144,MERIDIAN ENERGY LTD,NZD,S01,MEL NZ,Equity,BBG005GS6PX1,,941157,NZ,,,
2023-12-27,NGT2754,GN 784177 3% 16-15/05/2046,USD,P05,3622A2UA8,Mtge,BBG00DDZDVM2,,172783.677,US,,,
2024-02-23,NGT2754,RIOCAN REAL ESTATE INVST TR,CAD,S62,REI-U CT,Equity,BBG000BM1R52,,191151,CA,,,
2024-02-16,NGT6144,BRAMBLES LTD,AUD,S01,BXB AT,Equity,BBG000Q8XHP2,,492063,AU,,,
2024-02-21,NGT2754,ANNALY CAPITAL MANAGEMENT IN,USD,S62,NLY UN,Equity,BBG000BJFKR5,,410670,US,,,
2024-02-21,NGT6144,SWIRE PACIFIC LTD - CL A,HKD,S01,19 HK,Equity,BBG000BF0315,,645000,HK,,,
2024-02-20,NGT6144,CITY DEVELOPMENTS LTD,SGD,S01,CIT SP,Equity,BBG000BDFV12,,752400,SG,,,
2024-02-15,NGT2754,GRACO INC,USD,S01,GGG UN,Equity,BBG000BK9XD6,,257046,US,,,
2024-02-28,NGT6144,,USD,S01,URI UN,Equity,BBG000BXMGQ6,,33960,US,,,
2024-02-15,NGT6144,OMRON CORP,JPY,S01,6645 JT,Equity,BBG000BGJDG5,,266100,JP,,,
2024-02-19,NGT6144,VONOVIA SE,EUR,S01,VNA GY,Equity,BBG004C6MBZ7,,260556,DE,,,
2024-02-19,NGT6144,BANK OF NOVA SCOTIA,CAD,S01,BNS CT,Equity,BBG000BXSYK7,,344700,CA,,,
2023-12-27,NGT2754,,EUR,B31,BQ2986280,Govt,BBG011MDR398,,450000,BE,,,
2024-02-15,NGT6144,,EUR,S01,ELI BB,Equity,BBG000KR9Z28,,44247,BE,,,
2024-02-20,NGT6144,WATERS CORP,USD,S01,WAT UN,Equity,BBG000FQRY65,,68307,US,,,
2023-12-28,NGT2754,UNION PAC CORP 3.25% 20-05/02/2050,USD,B01,ZP7461210,Corp,BBG00RKLXM33,,300000,US,,,
2024-02-23,NGT6144,INTUIT INC,USD,S01,INTU UW,Equity,BBG000BH5QS6,,59658,US,,,
2024-02-22,NGT6144,BUILDERS FIRSTSOURCE INC,USD,S01,BLDR UN,Equity,BBG000BKD5G9,,24531,US,,,
2024-02-21,NGT6144,OPEN TEXT CORP,CAD,S01,OTEX CT,Equity,BBG000JXM9V8,,361203,CA,,,
2023-12-27,NGT2754,,USD,P09,21H062610,Mtge,BBG01BBKKT47,,2100000,US,,,
2024-02-19,NGT6144,DHL GROUP,EUR,S01,DHL GY,Equity,BBG000LW3NX5,,66903,DE,,,
2024-02-26,NGT6144,,USD,S01,ZTS UN,Equity,BBG003932MF0,,147801,US,,,
2024-02-20,NGT6144,,USD,S01,BKNG UW,Equity,BBG000BLC4L5,,5958,US,,,
2023-12-28,NGT2754,THAILAND GOVT 2.875% 18-17/12/2028,THB,B31,AT4545436,Govt,BBG00LC4WPR1,,14115000,TH,,,
2024-02-19,NGT6144,,USD,S01,IPG UN,Equity,BBG000C90HC5,,327948,US,,,
2024-02-26,NGT2754,,USD,S01,ILMN UW,Equity,BBG000DSQ5M9,,62052,US,,,
2024-02-23,NGT6144,ORION OYJ-CLASS B,EUR,S01,ORNBV FH,Equity,BBG000PPDYY0,,114804,FI,,,
2024-02-28,NGT6144,LEG IMMOBILIEN SE,EUR,S01,LEG GY,Equity,BBG003T0P9H6,,47541,DE,,,
2024-02-19,NGT6144,AGILENT TECHNOLOGIES INC,USD,S01,A UN,Equity,BBG000C2V541,,228879,US,,,
2023-12-22,NGT2754,ITALY BTPS 5% 09-01/09/2040,EUR,BA1,EH9691161,Govt,BBG0000NHTZ8,,540000,IT,,,
2024-02-26,NGT6144,TDK CORP,JPY,S01,6762 JT,Equity,BBG000C26MZ8,,173700,JP,,,
2023-12-28,NGT2754,SWISS (GOVT) 1.5% 12-30/04/2042,CHF,B31,EJ1265085,Govt,BBG002W0QNH2,,1530000,CH,,,
2024-02-23,NGT6144,,USD,S01,PGR UN,Equity,BBG000BR39M0,,127176,US,,,
2023-12-27,NGT2754,COLOMBIA REP OF 3.25% 21-22/04/2032,USD,B31,BP1590200,Govt,BBG0105VQ700,,12960000,CO,,,
2023-12-27,NGT2754,AIB GROUP PLC 23-13/09/2029 FRN,USD,B03,ZI7811824,Corp,BBG01J6K45Y3,,300000,IE,,,
2024-02-20,NGT6144,AGILENT TECHNOLOGIES INC,USD,S01,,Equity,BBG000C2V541,,228879,US,,,
2024-02-23,NGT6144,IDEX CORP,USD,S01,IEX UN,Equity,BBG000C1HPK7,,98046,US,,,
2024-02-27,NGT6144,,USD,S01,CMI UN,Equity,BBG000BGPXY4,,5199,US,,,
2024-02-20,NGT6144,HILTON WORLDWIDE HOLDINGS IN,USD,S01,HLT UN,Equity,BBG0058KMJP2,,149142,US,,,
2024-02-20,NGT6144,JULIUS BAER GROUP LTD,CHF,S01,BAER SE,Equity,BBG00HCY7SK3,,67794,CH,,,
2024-02-22,NGT6144,AMGEN INC,USD,S01,AMGN UW,Equity,BBG000BBSCX9,,83151,US,,,
2024-02-23,NGT6144,FANUC CORP,JPY,S01,6954 JT,Equity,BBG000BM3VX0,,273900,JP,,,
2024-02-27,NGT6144,TELIA CO AB,SEK,S01,TELIA SS,Equity,BBG000M3HZX6,,876696,SE,,,
2023-12-27,NGT2754,SINGAPORE GOVT 1.625% 21-01/07/2031,SGD,B31,BQ1798256,Govt,BBG011K1Z5D7,,300000,SG,,,
2024-02-27,NGT6144,NMC HEALTH PLC,GBP,S01,NMC LN,Equity,BBG002QJCKC4,,9810,AE,,,
2024-02-19,NGT6144,TEXAS INSTRUMENTS INC,USD,S01,TXN UW,Equity,BBG000BVVPD4,,466671,US,,,
2024-02-16,NGT6144,AMADEUS IT GROUP SA,EUR,S01,AMS SQ,Equity,BBG000QSDZF1,,93189,ES,,,
2024-02-20,NGT6144,SONOVA HOLDING AG-REG,CHF,S01,SOON SE,Equity,BBG00HCYSKM5,,33291,CH,,,
2024-02-28,NGT6144,,USD,S01,TRV UN,Equity,BBG000BJ82Q4,,125178,US,,,
2024-02-28,NGT6144,VERIZON COMMUNICATIONS INC,USD,S01,VZ UN,Equity,BBG000HS79Q4,,546396,US,,,
2023-12-28,NGT2754,,RUB,B31,AR4278297,Govt,BBG00K53FBX6,,7680000,RU,,,
2023-12-22,NGT2754,,EUR,B31,EI2397178,Govt,BBG0000HF3S8,,450000,NL,,,
2023-12-27,NGT2754,,USD,B01,AP9658711,Corp,BBG00J6F46G3,,420000,GB,,,
2023-12-27,NGT2754,,USD,P05,3132DWBB8,Mtge,BBG00YDFS7Y4,,2471641.452,US,,,
2023-12-27,NGT2754,JM SMUCKER CO 5.9% 23-15/11/2028,USD,B01,ZH4490533,Corp,BBG01JPR16J5,,150000,US,,,
2024-02-21,NGT6144,VAT GROUP AG,CHF,S01,VACN SE,Equity,BBG00CMBNV19,,17712,CH,,,
2024-02-22,NGT6144,COLES GROUP LTD,AUD,S01,COL AT,Equity,BBG00MK2SRN9,,555273,AU,,,
2024-02-27,NGT6144,WEST PHARMACEUTICAL SERVICES,USD,S01,WST UN,Equity,BBG000BX26F2,6,36393,US,,,
2024-02-15,NGT6144,AVANTOR INC,USD,S01,AVTR UN,Equity,BBG00N9SDKZ1,,530028,US,,,
2024-02-21,NGT6144,,JPY,S01,3092 JT,Equity,BBG000TW0FS3,,210900,JP,,,
2023-12-22,NGT2754,KOREA TRSY BD 2% 21-10/06/2031 FLAT,KRW,B31,BO9153574,Govt,BBG00ZWSYKY6,,540000000,KR,,,
2024-02-16,NGT6144,,USD,S01,EA UW,Equity,BBG000BP0WH2,,109170,US,,,
2024-02-20,NGT6144,,USD,S01,BR UN,Equity,BBG000PPFN90,,67683,US,,,
2024-02-26,NGT6144,FERGUSON PLC,USD,S01,FERG UN,Equity,BBG00P5M4V43,,45153,GB,,,
2024-02-20,NGT6144,AUTODESK INC,USD,S01,ADSK UW,Equity,BBG000BM7TD3,,125316,US,,,
2024-02-21,NGT2754,,USD,S01,VZ UN,Equity,BBG000HS79Q4,,645468,US,,,
2024-02-16,NGT6144,HASBRO INC,USD,S01,HAS UW,Equity,BBG000BKVWG0,,134595,US,,,
2024-02-21,NGT6144,PROGRESSIVE CORP,USD,S01,PGR UN,Equity,BBG000BR39M0,,149160,US,,,
2024-02-20,NGT6144,LAM RESEARCH CORP,USD,S01,LRCX UW,Equity,BBG000BNFW27,14,64713,US,,,
2023-12-27,NGT2754,FR SD7525 2.5% 20-01/10/2050,USD,P05,3132DVLE3,Mtge,BBG00XMK7BT5,3,816333.552,US,5,,
2023-12-28,NGT2754,AGILENT TECH INC 2.75% 19-15/09/2029,USD,B01,ZR4886993,Corp,BBG00Q6BCSV2,,900000,US,,,
2024-02-23,NGT6144,ZOETIS INC,USD,S01,ZTS UN,Equity,BBG003932MF0,,147801,US,,,
2024-02-22,NGT6144,SWISS RE AG,CHF,S01,SREN SE,Equity,BBG00HCYV7Y7,,91443,CH,,,
2024-02-28,NGT6144,XYLEM INC,USD,S01,XYL UN,Equity,BBG00256TDP9,,114459,US,,,
2024-02-26,NGT6144,REGIONS FINANCIAL CORP,USD,S01,RF UN,Equity,BBG000Q3JQJ6,,697497,US,,,
2023-12-28,NGT2754,BANCO POP ESPAN 1% 15-07/04/2025,EUR,B85,EK8225774,Corp,BBG008CV7G43,,900000,ES,,,
2024-02-23,NGT6144,,EUR,S01,AMP IM,Equity,BBG000FZG9K6,,141660,IT,,,
2024-02-28,NGT2754,ASSICURAZIONI GENERALI,EUR,S01,G IM,Equity,BBG000BC1V91,,33420,IT,,,
2023-12-27,NGT2754,FR SC0312 2.5% 22-01/06/2042,USD,P05,3132D9KZ6,Mtge,BBG019VN17M3,,276546.408,US,,,
2023-12-28,NGT2754,G2SF 6.5% Jan,USD,P06,,Mtge,,,0,US,,,
2024-02-21,NGT6144,,GBP,S01,,Equity,BBG000BS5FD2,12,293403,GB,,,
2023-12-22,NGT2754,S&P GLOBAL INC 5.25% 23-15/09/2033,USD,B01,ZI8069984,Corp,BBG01J7C49X3,,144000,US,,,
2023-12-22,NGT2754,,CAD,B31,CP5052057,Govt,BBG00005WXV5,,600000,CA,,,
2023-12-22,NGT2754,KFW 9% 22-08/07/2024,HUF,B01,BX4911794,Corp,BBG018KKKG15,,150000000,DE,,,
2024-02-23,NGT6144,UNITED UTILITIES GROUP PLC,GBP,S01,UU/ LN,Equity,BBG000BBFLV5,,629931,GB,,,
2023-12-27,NGT2754,REP OF POLAND 5.5% 22-16/11/2027,USD,B31,ZN2158931,Govt,BBG01BFCVHP2,,750000,PL,,,
2024-02-23,NGT6144,CREDIT AGRICOLE SA,EUR,S01,ACA FP,Equity,BBG000DVJ6L9,,160908,FR,,,
2023-12-22,NGT2754,GNR 2020-127 IK 2.5% 20-20/08/2050,USD,P05,CX20615S,Mtge,BBG00WSJX215,,8373169.781,US,,,
2023-12-27,NGT2754,SINGAPORE GOVT 3.5% 07-01/03/2027,SGD,B31,EG2021475,Govt,BBG00006JFB9,,579000,SG,,,
2023-12-27,NGT2754,,USD,B01,BN9733195,Corp,BBG00Z6CFH41,,300000,US,,,
2024-02-19,NGT6144,,EUR,S01,REC IM,Equity,BBG000BC7PF1,,159045,IT,,,
2023-12-28,NGT2754,AGRICUL DEV BANK 2.5% 22-24/08/2027,CNY,B31,BY5479385,Govt,BBG0199B1CL4,,30000000,CN,,,
2024-02-26,NGT6144,,CAD,S01,H CT,Equity,BBG00B0VKL43,,428592,CA,,,
2023-12-22,NGT2754,CHILE 3.25% 21-21/09/2071,USD,B31,BR4519822,Govt,BBG012JB0PY6,,600000,CL,,,
2024-02-15,NGT6144,,EUR,S01,AD NA,Equity,BBG000BBBC58,,305223,NL,,,
2023-12-22,NGT2754,,USD,B31,AP2859340,Govt,BBG00HTD5WQ8,,630000,SA,,,
2024-02-22,NGT6144,CENCORA INC,USD,S01,COR UN,Equity,BBG000MDCSN6,,47904,US,,,
2024-02-19,NGT6144,WATERS CORP,USD,S01,WAT UN,Equity,BBG000FQRY65,,68307,US,,,
2024-02-20,NGT6144,AMERIPRISE FINANCIAL INC,USD,S01,AMP UN,Equity,BBG000G3QP92,,67080,US,,,
2023-12-22,NGT2754,HOLDING DINFRA 4.25% 23-18/03/2030,EUR,B01,ZM3833104,Corp,BBG01C9ST6V2,,300000,FR,,,
2024-02-21,NGT6144,BECTON DICKINSON AND CO,USD,S01,BDX UN,Equity,BBG000BD00Y0,,139710,US,,,
2023-12-27,NGT2754,DELETED,USD,P06,,,,,0,US,,,
2023-12-28,NGT2754,JAPAN GOVT 30-YR 2% 11-20/09/2041,JPY,B31,EI8055663,Govt,BBG0021TP6M5,,83700000,JP,,,
2023-12-28,NGT2754,INTEL CORP 5.7% 23-10/02/2053,USD,B01,ZM9267091,Corp,BBG01F3YX1K6,,300000,US,,,
2024-02-16,NGT6144,BALL CORP,USD,S01,BALL UN,Equity,BBG000BDDPK6,,28059,US,,,
