nx_date,nt_trade_date,nt_accounting_date,nt_fund_code,nt_security_description,nt_security_currency,nt_gti_code,nt_quotation_name,nt_issuer_country_name,nt_bloomberg_code,nt_transaction_quantity,nt_transaction_price
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,AUTOMATIC DATA PROCESSING,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),ADP UW,3429,749.97
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,AUTO TRADER GROUP PLC,GBP,S01,SEATS LONDON,GREAT-BRITAIN,AUTO LN,6273,21.786
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,ZOZO INC,JPY,S01,TOKYO,JAPAN,3092 JT,28500,10194
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,SEIKO EPSON CORP,JPY,S01,TOKYO,JAPAN,6724 JT,44700,7284
2/15/2024,2/14/2024 0:00:00,"Thursday, February 15",NGT6144,ZIMMER BIOMET HOLDINGS INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),ZBH UN,2241,365.52
2/15/2024,2/15/2024 0:00:00,"Thursday, February 15",NGT6144,SCENTRE GROUP,AUD,S62,AUSTRALIAN S.E.,AUSTRALIA,SCG AT,4642578,0.2505
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,STERIS PLC,USD,S01,N.Y.S.E.,IRELAND,STE UN,14106,698.55
2/1/2024,1/31/2024 0:00:00,"Thursday, February 1",NGT6144,GILEAD SCIENCES INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),GILD UW,5478,234.78
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,ACCIONA SA,EUR,S01,SIBE MERCADO CONTINUO,SPAIN,ANA SQ,1038,329.85
2/26/2024,2/26/2024 0:00:00,"Monday, February 26",NGT6144,LABORATORY CRP OF AMER HLDGS,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),LH UN,40032,2.16
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,AECOM,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),ACM UN,27789,264.33
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT6144,TESLA INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),TSLA UW,3777,566.58
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,ADMIRAL GROUP PLC,GBP,S01,LSE SETS,GREAT-BRITAIN,ADM LN,1527,74.55
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT6144,HOME DEPOT INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),HD UN,1248,1065.9
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,RENESAS ELECTRONICS CORP,JPY,S01,TOKYO,JAPAN,6723 JT,9300,7846.5
1/23/2024,1/23/2024 0:00:00,"Tuesday, January 23",NGT6144,CLOROX COMPANY,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),CLX UN,89448,3.6
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,LOWES COS INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),LOW UN,819,643.41
2/23/2024,2/22/2024 0:00:00,"Friday, February 23",NGT2754,NXP SEMICONDUCTORS NV,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),NETHERLANDS,NXPI UW,-633,718.5
2/1/2024,1/31/2024 0:00:00,"Thursday, February 1",NGT2754,XYLEM INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),XYL UN,3822,337.32
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,SHERWIN-WILLIAMS CO/THE,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),SHW UN,11547,942.87
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,BUILDERS FIRSTSOURCE INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),BLDR UN,3843,550.98
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,CHURCH & DWIGHT CO INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),CHD UN,40929,295.83
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,ALCON INC,CHF,S01,SIX Swiss Exchange,SWITZERLAND,ALC SE,24876,207.3
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT2754,DOLLARAMA INC,CAD,S01,TSX Toronto Stock Exchange,CANADA,DOL CT,5835,297.78
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,FACTSET RESEARCH SYSTEMS INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),FDS UN,4371,1360.05
2/5/2024,2/2/2024 0:00:00,"Monday, February 5",NGT2754,TOKIO MARINE HOLDINGS INC,JPY,S01,TOKYO,JAPAN,8766 JT,16200,11388
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,POOL CORP,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),POOL UW,393,1159.95
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,NOKIA OYJ,EUR,S01,HELSINKI,FINLAND,NOKIA FH,35124,9.702
2/23/2024,2/22/2024 0:00:00,"Friday, February 23",NGT2754,LKQ CORP,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),LKQ UW,891,155.58
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,AXA SA,EUR,S01,EURONEXT PARIS,FRANCE,CS FP,4653,89.97
2/15/2024,2/15/2024 0:00:00,"Thursday, February 15",NGT2754,JM SMUCKER CO/THE,USD,S53,N.Y.S.E.,UNITED-STATES (U.S.A.),SJM UN,126261,3.18
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,COLES GROUP LTD,AUD,S01,AUSTRALIAN S.E.,AUSTRALIA,COL AT,5625,47.64
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,HILTON WORLDWIDE HOLDINGS IN,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),HLT UN,909,609.03
2/23/2024,2/22/2024 0:00:00,"Friday, February 23",NGT2754,ADOBE INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),ADBE UW,189,1612.71
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,FINECOBANK SPA,EUR,S01,EURONEXT MILAN,ITALY,FBK IM,3447,40.98
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,TOKIO MARINE HOLDINGS INC,JPY,S01,TOKYO,JAPAN,8766 JT,4200,11586
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,BERKELEY GROUP HOLDINGS/THE,GBP,S01,LSE SETS,GREAT-BRITAIN,BKG LN,966,143.55
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,SAGE GROUP PLC/THE,GBP,S01,LSE SETS,GREAT-BRITAIN,SGE LN,176976,35.235
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,SVENSKA HANDELSBANKEN-A SHS,SEK,S01,STOCKHOLM,SWEDEN,SHBA SS,21963,370.95
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,HARTFORD FINANCIAL SVCS GRP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),HIG UN,8370,272.43
2/5/2024,2/5/2024 0:00:00,"Monday, February 5",NGT2754,ASML HOLDING NV,EUR,S01,EURONEXT AMSTERDAM,NETHERLANDS,ASML NA,82869,4.35
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,PAYLOCITY HOLDING CORP,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),PCTY UW,4161,520.35
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,RIVIAN AUTOMOTIVE INC-A,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),RIVN UW,14169,50.04
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,LKQ CORP,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),LKQ UW,50337,150.96
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,HERMES INTERNATIONAL,EUR,S01,EURONEXT PARIS,FRANCE,RMS FP,84,5428.2
2/5/2024,2/2/2024 0:00:00,"Monday, February 5",NGT2754,NXP SEMICONDUCTORS NV,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),NETHERLANDS,NXPI UW,-2025,644.97
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT2754,TESLA INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),TSLA UW,2085,549.75
2/15/2024,2/14/2024 0:00:00,"Thursday, February 15",NGT2754,OLD DOMINION FREIGHT LINE,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),ODFL UW,510,1293.39
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,DOLLARAMA INC,CAD,S01,TSX Toronto Stock Exchange,CANADA,DOL CT,2046,315.69
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,AMERICAN WATER WORKS CO INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),AWK UN,1908,378.78
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,HENKEL AG & CO KGAA VOR-PREF,EUR,S09,XETRA FRANKFURT,GERMANY,HEN3 GY,8019,213.78
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,BOC HONG KONG HOLDINGS LTD,HKD,S01,HONG KONG,HONG KONG,2388 HK,295500,59.64
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,BOOKING HOLDINGS INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),BKNG UW,48,10471.86
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,WOLTERS KLUWER,EUR,S01,EURONEXT AMSTERDAM,NETHERLANDS,WKL NA,327,441.9
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,HUNT (JB) TRANSPRT SVCS INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),JBHT UW,1188,646.74
1/19/2024,1/18/2024 0:00:00,"Friday, January 19",NGT2754,EDWARDS LIFESCIENCES CORP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),EW UN,939,223.32
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT2754,ELEVANCE HEALTH INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),ELV UN,891,1486.29
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,DOLLARAMA INC,CAD,S01,TSX Toronto Stock Exchange,CANADA,DOL CT,48564,312.45
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,FASTENAL CO,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),FAST UW,11484,210.06
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,AGNICO EAGLE MINES LTD,CAD,S01,TSX Toronto Stock Exchange,CANADA,AEM CT,2061,198.06
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,TESLA INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),TSLA UW,37029,584.31
1/19/2024,1/18/2024 0:00:00,"Friday, January 19",NGT2754,CARRIER GLOBAL CORP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),CARR UN,1032,166.2
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT2754,DOVER CORP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),DOV UN,2928,449.82
1/30/2024,1/30/2024 0:00:00,"Tuesday, January 30",NGT2754,QIAGEN N.V.,EUR,S01,XETRA FRANKFURT,NETHERLANDS,QIA GY,-7459.11,122.31
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,TOBU RAILWAY CO LTD,JPY,S01,TOKYO,JAPAN,9001 JT,38400,11469
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,POOL CORP,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),POOL UW,4881,1167.3
2/28/2024,2/28/2024 0:00:00,"Wednesday, February 28",NGT2754,YASKAWA ELECTRIC CORP,JPY,S01,TOKYO,JAPAN,6506 JT,99300,96
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,ELEVANCE HEALTH INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),ELV UN,6165,1528.14
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,EDP RENOVAVEIS SA,EUR,S01,LISBON,SPAIN,EDPR PL,3729,38.88
2/1/2024,1/31/2024 0:00:00,"Thursday, February 1",NGT2754,UNITED RENTALS INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),URI UN,669,1876.2
2/8/2024,2/8/2024 0:00:00,"Thursday, February 8",NGT2754,CAPITALAND ASCENDAS REIT,SGD,S62,SINGAPORE,SINGAPORE,CLAR SP,5674500,0.01092
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,KERING,EUR,S01,EURONEXT PARIS,FRANCE,KER FP,735,1239.3
1/19/2024,1/18/2024 0:00:00,"Friday, January 19",NGT2754,AUTODESK INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),ADSK UW,390,723.54
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,C.H. ROBINSON WORLDWIDE INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),CHRW UW,3630,224.01
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,DOLLARAMA INC,CAD,S01,TSX Toronto Stock Exchange,CANADA,DOL CT,2802,304.98
2/1/2024,1/31/2024 0:00:00,"Thursday, February 1",NGT2754,S&P GLOBAL INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),SPGI UN,1053,1345.05
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,MICROSOFT CORP,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),MSFT UW,13500,1261.65
1/30/2024,1/29/2024 0:00:00,"Tuesday, January 30",NGT2754,JM SMUCKER CO/THE,USD,S53,N.Y.S.E.,UNITED-STATES (U.S.A.),SJM UN,3270,394.77
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,SYNCHRONY FINANCIAL,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),SYF UN,2700,112.32
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT2754,COOPER COS INC/THE,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),COO UW,1140,1117.92
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,AXA SA,EUR,S01,EURONEXT PARIS,FRANCE,CS FP,55575,93.525
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT2754,BANK OF NOVA SCOTIA,CAD,S01,TSX Toronto Stock Exchange,CANADA,BNS CT,9342,190.29
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT2754,KNIGHT-SWIFT TRANSPORTATION,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),KNX UN,7551,173.58
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,JSR CORP,JPY,S01,TOKYO,JAPAN,4185 JT,12300,12186
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,WORKDAY INC-CLASS A,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),WDAY UW,861,873.96
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,SYSMEX CORP,JPY,S01,TOKYO,JAPAN,6869 JT,16500,23670
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,RIOCAN REAL ESTATE INVST TR,CAD,S62,TSX Toronto Stock Exchange,CANADA,REI-U CT,29949,55.98
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,IGO LTD,AUD,S01,AUSTRALIAN S.E.,AUSTRALIA,IGO AT,101559,21.18
2/15/2024,2/14/2024 0:00:00,"Thursday, February 15",NGT2754,EXPEDITORS INTL WASH INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),EXPD UN,1419,377.22
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,PNC FINANCIAL SERVICES GROUP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),PNC UN,22716,439.71
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,FASTENAL CO,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),FAST UW,2361,219
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,CBRE GROUP INC - A,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),CBRE UN,2046,259.65
2/23/2024,2/22/2024 0:00:00,"Friday, February 23",NGT2754,JM SMUCKER CO/THE,USD,S53,N.Y.S.E.,UNITED-STATES (U.S.A.),SJM UN,324,372.87
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,QBE INSURANCE GROUP LTD,AUD,S01,AUSTRALIAN S.E.,AUSTRALIA,QBE AT,73614,50.43
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,AUTO TRADER GROUP PLC,GBP,S01,SEATS LONDON,GREAT-BRITAIN,AUTO LN,4737,22.092
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,IDEX CORP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),IEX UN,702,708.18
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,TDK CORP,JPY,S01,TOKYO,JAPAN,6762 JT,1800,23658
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,CAN APARTMENT PROP REAL ESTA,CAD,S62,TSX Toronto Stock Exchange,CANADA,CAR-U CT,5730,148.65
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,MERIDIAN ENERGY LTD,NZD,S01,NEW ZEALAND,NEW-ZEALAND,MEL NZ,59724,16.83
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,MINERAL RESOURCES LTD,AUD,S01,AUSTRALIAN S.E.,AUSTRALIA,MIN AT,6426,171.3
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,HANKYU HANSHIN HOLDINGS INC,JPY,S01,TOKYO,JAPAN,9042 JT,3000,12855
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,CLOROX COMPANY,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),CLX UN,921,459.6
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,LOWES COS INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),LOW UN,819,643.41
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,KELLANOVA,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),K UN,2163,169.32
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,FOX CORP - CLASS A,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),FOXA UW,8181,89.31
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,CORP ACCIONA ENERGIAS RENOVA,EUR,S01,SIBE MERCADO CONTINUO,SPAIN,ANE SQ,5748,64.74
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,TRACTOR SUPPLY COMPANY,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),TSCO UW,519,728.13
2/23/2024,2/22/2024 0:00:00,"Friday, February 23",NGT2754,GENERAL MILLS INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),GIS UN,960,195.21
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT2754,ADVANTEST CORP,JPY,S01,TOKYO,JAPAN,6857 JT,10800,17148
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,IDEXX LABORATORIES INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),IDXX UW,318,1594.56
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,RB GLOBAL INC,CAD,S01,TSX Toronto Stock Exchange,CANADA,RBA CT,8370,270.09
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT2754,AVERY DENNISON CORP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),AVY UN,2175,598.38
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,LOREAL,EUR,S01,EURONEXT PARIS,FRANCE,OR FP,546,1279.5
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,HIKMA PHARMACEUTICALS PLC,GBP,S01,LSE SETS,GREAT-BRITAIN,HIK LN,2184,59.82
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,HOLOGIC INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),HOLX UW,1452,224.43
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,CARRIER GLOBAL CORP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),CARR UN,7467,168.03
2/15/2024,2/14/2024 0:00:00,"Thursday, February 15",NGT2754,NOKIA OYJ,EUR,S01,HELSINKI,FINLAND,NOKIA FH,43950,9.747
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,ALLY FINANCIAL INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),ALLY UN,2166,109.65
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT2754,CHURCH & DWIGHT CO INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),CHD UN,4461,297.36
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,CARRIER GLOBAL CORP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),CARR UN,2766,167.73
2/15/2024,2/14/2024 0:00:00,"Thursday, February 15",NGT2754,AGNICO EAGLE MINES LTD,CAD,S01,TSX Toronto Stock Exchange,CANADA,AEM CT,3663,184.02
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,ARGENX SE,EUR,S01,EURONEXT BRUSSELS,NETHERLANDS,ARGX BB,1707,1109.7
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,AVANTOR INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),AVTR UN,4593,73.38
2/23/2024,2/22/2024 0:00:00,"Friday, February 23",NGT2754,RENESAS ELECTRONICS CORP,JPY,S01,TOKYO,JAPAN,6723 JT,3000,7644
2/1/2024,1/31/2024 0:00:00,"Thursday, February 1",NGT2754,STERIS PLC,USD,S01,N.Y.S.E.,IRELAND,STE UN,2001,656.85
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,HUNT (JB) TRANSPRT SVCS INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),JBHT UW,10440,609.54
1/19/2024,1/18/2024 0:00:00,"Friday, January 19",NGT2754,GENERAL MILLS INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),GIS UN,1167,189.93
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,INSULET CORP,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),PODD UW,1323,577.65
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,FERGUSON PLC,USD,S01,N.Y.S.E.,GREAT-BRITAIN,FERG UN,456,632.79
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,SONY GROUP CORP,JPY,S01,TOKYO,JAPAN,6758 JT,35100,39555
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT2754,AUTODESK INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),ADSK UW,1716,759.21
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,ADOBE INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),ADBE UW,10533,1615.56
2/1/2024,1/31/2024 0:00:00,"Thursday, February 1",NGT2754,HOLOGIC INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),HOLX UW,5778,223.32
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,CLOROX COMPANY,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),CLX UN,981,430.47
1/19/2024,1/18/2024 0:00:00,"Friday, January 19",NGT2754,ALLEGION PLC,USD,S01,N.Y.S.E.,IRELAND,ALLE UN,414,363.51
1/30/2024,1/29/2024 0:00:00,"Tuesday, January 30",NGT2754,PENTAIR PLC,USD,S01,N.Y.S.E.,GREAT-BRITAIN,PNR UN,5964,219.78
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT2754,CBRE GROUP INC - A,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),CBRE UN,5046,258.57
1/30/2024,1/29/2024 0:00:00,"Tuesday, January 30",NGT2754,CME GROUP INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),CME UW,2094,614.34
1/19/2024,1/18/2024 0:00:00,"Friday, January 19",NGT2754,BECTON DICKINSON AND CO,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),BDX UN,1464,705
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT2754,ALCON INC,CHF,S01,SIX Swiss Exchange,SWITZERLAND,ALC SE,1488,211.32
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT2754,LENNOX INTERNATIONAL INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),LII UN,978,1273.83
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT2754,TAKE-TWO INTERACTIVE SOFTWRE,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),TTWO UW,2622,498.99
2/15/2024,2/14/2024 0:00:00,"Thursday, February 15",NGT2754,MICROSOFT CORP,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),MSFT UW,6240,1228.47
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT2754,FIDELITY NATIONAL INFO SERV,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),FIS UN,21615,190.35
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,ELIA GROUP SA/NV,EUR,S01,EURONEXT BRUSSELS,BELGIUM,ELI BB,2055,312
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT2754,SUN LIFE FINANCIAL INC,CAD,S01,TSX Toronto Stock Exchange,CANADA,SLF CT,1329,205.47
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT2754,S&P GLOBAL INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),SPGI UN,2592,1313.67
